order_item_id,order_id,product_id,quantity,unit_price,discount
1,7369,182,1,2228.21,0.1632
2,9494,124,2,167.51,0.2153
3,8830,67,2,1005.92,0.1501
4,1264,82,4,2026.17,0.1513
5,919,120,4,1284.21,0.0463
6,4916,56,5,2037.1,0.009
7,681,81,1,427.95,0.0216
8,473,60,5,641.0,0.1528
9,9985,14,3,1006.35,0.1346
10,8033,174,3,2149.98,0.2439
11,7930,16,4,2393.54,0.1132
12,4325,115,3,156.12,0.2797
13,5959,27,2,2351.86,0.1009
14,3471,165,3,1750.05,0.1669
15,7371,61,5,1217.37,0.2016
16,9900,118,1,620.84,0.2306
17,4145,148,4,720.28,0.1961
18,4823,25,1,1665.56,0.0377
19,5809,178,4,1059.79,0.2061
20,3012,58,3,92.88,0.0003
21,1098,78,3,2415.73,0.1008
22,9642,165,4,1669.32,0.1436
23,7552,133,1,1975.83,0.1237
24,8970,54,2,1613.31,0.079
25,9525,37,4,1789.0,0.2577
26,1450,74,0,112.46,0.2979
27,5451,10,5,982.16,0.198
28,2900,9,4,2339.48,0.0372
29,4504,78,4,2393.04,0.0559
30,4167,33,2,2300.05,0.0011
31,5564,152,2,2496.92,0.1101
32,1461,70,3,190.15,0.246
33,5382,57,1,173.35,0.0705
34,9573,26,3,2332.95,0.1212
35,9521,167,3,90.57,0.285
36,7711,172,2,2214.75,0.1593
37,6299,64,4,2191.32,0.282
38,9332,176,4,1359.93,0.015
39,7093,195,2,2202.7,0.2022
40,3123,48,4,1724.14,0.0393
41,1096,40,1,441.25,0.0088
42,9856,174,5,2112.6,0.0794
43,5032,96,4,1011.56,0.0058
44,9383,3,4,554.89,0.0481
45,3142,142,3,2443.22,0.0603
46,5088,4,2,1716.63,0.299
47,5118,140,4,475.35,0.0178
48,9379,118,2,2178.19,0.2852
49,9791,151,3,2064.48,0.1151
50,3359,131,1,271.12,0.1628
51,6058,3,5,329.88,0.0101
52,5464,125,1,570.99,0.0016
53,8898,42,5,2250.88,0.0734
54,3881,147,1,1817.18,0.2061
55,2890,156,5,2255.23,0.2082
56,9722,38,1,2114.26,0.1756
57,7922,117,2,1339.33,0.139
58,7639,137,5,141.59,0.0721
59,7457,184,2,1806.39,0.2512
60,1849,110,3,1548.17,0.172
61,3577,145,4,592.05,0.1031
62,9739,135,3,2312.21,0.0444
63,3802,200,3,1722.14,0.1978
64,5870,101,5,2009.09,0.0586
65,345,116,5,1943.64,0.1571
66,2427,119,3,330.53,0.1305
67,4228,54,1,709.82,0.0602
68,1235,28,4,1907.06,0.2339
69,4813,128,2,1465.18,0.1375
70,9811,194,2,325.42,0.0076
71,4173,156,1,1067.1,0.151
72,9356,25,4,609.34,0.062
73,5029,91,1,1872.07,0.2979
74,8946,99,2,356.98,0.1942
75,1591,177,1,1538.71,0.029
76,4568,176,5,84.81,0.1514
77,3090,124,2,1732.09,0.1186
78,4352,175,5,237.07,0.1778
79,4455,62,4,334.58,0.1979
80,6196,161,5,1206.32,0.1361
81,6867,170,1,41.66,0.1917
82,5859,87,4,2445.46,0.0863
83,4129,27,3,686.78,0.0111
84,9544,124,4,26.85,0.0167
85,436,8,3,2162.72,0.2557
86,7141,190,3,180.5,0.1024
87,3491,116,4,2187.93,0.283
88,4945,166,3,1999.86,0.1418
89,2861,115,5,315.79,0.2529
90,6724,4,5,296.03,0.0412
91,1074,54,4,1859.98,0.2574
92,8862,176,3,1966.2,0.2815
93,5318,197,1,948.81,0.2863
94,8655,144,4,2192.9,0.0901
95,377,61,3,508.11,0.2157
96,2594,146,3,1532.82,0.0187
97,436,109,3,1047.25,0.0868
98,9213,173,1,844.14,0.0991
99,8916,18,5,1350.79,0.2127
100,5392,136,2,767.37,0.0965
101,2940,29,1,568.73,0.0199
102,7744,149,2,1358.17,0.1403
103,8183,54,5,1325.69,0.09
104,3624,91,3,2029.01,0.2314
105,2208,47,2,1631.79,0.1545
106,5496,194,2,846.46,0.0924
107,4216,68,1,1723.57,0.0164
108,6492,176,5,304.84,0.0653
109,2094,80,4,466.12,0.051
110,2517,89,2,1471.89,0.1046
111,2670,151,1,1398.84,0.011
112,5491,17,3,1332.57,0.0126
113,5100,61,5,1591.01,0.2744
114,1145,180,3,398.33,0.2676
115,3009,42,3,2006.1,0.213
116,1313,111,4,2190.44,0.2163
117,3630,51,2,1309.87,0.0235
118,7506,129,4,1716.81,0.0444
119,6525,149,1,2051.89,0.0841
120,7556,185,4,1630.93,0.1501
121,8050,36,1,1094.68,0.2544
122,9220,2,2,1712.81,0.2952
123,1937,23,2,2327.92,0.2337
124,4848,188,4,727.09,0.0459
125,1616,187,3,2006.02,0.2695
126,4297,194,4,2493.48,1.5
127,6106,43,5,1910.77,0.0266
128,8391,187,2,787.13,0.1021
129,2121,107,5,318.48,0.2411
130,9143,73,5,1368.15,0.2617
131,2736,90,5,303.97,0.2245
132,9952,120,3,1162.2,0.1444
133,9649,164,2,851.69,0.2988
134,407,60,2,1197.23,0.0007
135,8987,132,2,797.39,0.0318
136,1117,21,4,2114.56,0.1383
137,5784,97,1,1101.11,0.2128
138,1104,119,2,275.57,0.0081
139,6352,100,3,1619.72,0.1285
140,4188,97,3,1949.33,0.0754
141,2580,4,1,1070.44,0.1681
142,2131,132,4,1519.99,0.0942
143,4867,161,3,1123.7,0.1961
144,3943,142,1,514.48,0.0441
145,4280,137,3,1498.55,0.228
146,2713,88,1,1757.68,0.1637
147,365,64,3,634.26,0.2255
148,8388,190,4,1778.56,0.1466
149,5504,89,4,2152.02,0.114
150,3655,135,3,2294.01,0.0712
151,4600,5,3,443.73,0.2657
152,5417,110,5,430.86,0.131
153,1986,13,2,2175.05,0.1427
154,2568,130,4,1716.35,0.1581
155,4341,84,3,337.56,0.1559
156,6309,140,2,1245.38,0.1761
157,8154,117,3,1903.04,0.0404
158,4380,91,2,509.75,0.2501
159,1912,7,2,2277.35,0.1033
160,711,162,4,2166.9,0.0457
161,4091,149,5,1490.01,0.0515
162,5244,188,1,1947.68,0.1084
163,1591,82,3,384.64,0.0774
164,1341,138,2,631.66,0.2504
165,822,166,5,1939.17,0.2637
166,1617,186,2,1119.28,0.2136
167,753,56,3,464.83,0.2435
168,7038,172,1,735.91,0.0039
169,6935,115,4,1561.19,0.0257
170,7986,192,1,117.1,0.243
171,8523,148,4,383.45,0.141
172,3044,50,2,518.32,0.282
173,7372,54,5,2220.37,0.2548
174,8024,174,4,2220.91,0.1014
175,8859,40,2,542.95,0.0962
176,3387,152,3,1501.5,0.2648
177,6409,85,3,910.05,0.1305
178,7457,108,5,140.11,0.1347
179,4678,58,5,396.3,0.1604
180,8883,31,3,28.14,0.23
181,1704,118,3,2460.81,0.1087
182,3078,178,4,1629.58,0.1253
183,6788,138,5,344.55,0.1348
184,2338,84,3,1837.95,0.2514
185,2253,14,4,1536.64,0.1251
186,5679,19,2,529.78,0.2498
187,2952,30,5,1240.38,0.1661
188,7816,57,5,1532.41,0.18
189,9449,16,3,914.42,0.1915
190,5834,22,3,2397.2,0.115
191,8224,54,3,250.4,0.1821
192,8384,84,3,328.22,0.0534
193,4503,70,1,2143.66,0.095
194,8025,109,3,636.98,0.2557
195,5703,171,2,338.61,0.1092
196,2083,147,3,976.6,0.1167
197,3970,5,3,433.36,0.2699
198,5340,71,2,1268.34,0.1023
199,5738,20,4,1838.18,0.1945
200,6120,143,2,1892.64,0.2835
201,2380,38,5,768.32,0.2995
202,7164,129,2,1729.89,0.161
203,9046,118,5,2414.15,0.183
204,2057,5,1,33.44,0.1303
205,6324,182,2,1621.25,0.225
206,6147,85,4,1256.48,0.2158
207,9494,61,1,994.7,0.1142
208,1828,78,3,534.87,0.0168
209,4263,145,4,323.22,0.1878
210,5394,125,2,2303.47,0.0101
211,1617,126,2,90.62,0.1915
212,8310,76,4,1182.67,0.2443
213,2400,27,3,523.99,0.1729
214,6797,198,3,381.01,0.0999
215,9489,103,1,891.21,0.1511
216,317,25,4,800.54,0.1077
217,5522,91,5,1162.49,0.0333
218,1720,173,4,1240.46,0.0952
219,9264,130,3,1268.32,0.1462
220,9232,150,3,342.81,0.1027
221,9686,96,1,439.25,0.0069
222,3777,54,4,820.54,0.0277
223,1307,145,2,215.79,0.0369
224,2062,189,5,2085.77,0.1245
225,9564,66,4,257.74,0.0105
226,8559,119,5,582.41,0.1436
227,9844,154,4,1598.58,0.0186
228,736,184,3,2326.83,0.2735
229,3477,161,5,349.75,0.2981
230,3132,1,4,1106.09,0.114
231,867,40,2,753.3,0.2345
232,8852,171,3,1208.02,0.2685
233,3124,44,2,1103.89,0.2536
234,7318,190,1,1450.37,0.1672
235,6800,36,1,121.2,0.136
236,5781,184,1,2075.18,0.0974
237,2366,167,3,97.2,0.0261
238,3733,141,2,1437.51,0.2911
239,489,39,4,2038.03,0.0182
240,1980,126,3,301.49,0.0562
241,2172,12,4,1709.21,0.1522
242,8898,21,3,537.79,0.0251
243,4555,87,5,508.77,0.2116
244,7701,146,1,125.77,0.0036
245,8097,13,1,930.19,0.2551
246,7921,19,5,2233.25,0.2761
247,5777,163,2,1765.34,0.2036
248,7460,46,1,1428.1,0.1905
249,5262,112,1,2049.2,0.1774
250,4773,185,2,2091.43,0.0219
251,9604,162,2,1489.97,0.1016
252,2694,190,5,786.21,0.1895
253,8370,56,1,2203.17,0.0633
254,7718,129,5,884.39,0.0014
255,9551,185,3,445.18,0.1592
256,4632,110,2,1404.93,0.1063
257,1696,86,2,224.81,0.0696
258,3294,156,1,539.37,0.2423
259,1638,132,4,2121.15,0.2107
