product_id,product_name,category,price,cost,stock
1,Produto 001,Casa,159.54,767.05,379
2,Produto 002,Beleza,2487.24,1229.74,175
3,Produto 003,Moda,158.58,1507.44,106
4,Produto 004,Eletrônicos,1742.16,1011.43,100
5,Produto 005,Eletrônicos,2459.44,670.46,259
6,Produto 006,Esportes,609.36,706.16,477
7,Produto 007,Livros,368.49,1184.99,453
8,Produto 008,Beleza,316.64,13.45,365
9,Produto 009,Esportes,-50.0,1056.35,245
10,Produto 010,Livros,266.1,609.49,274
11,Produto 011,Casa,1735.02,1351.78,31
12,Produto 012,Beleza,169.8,165.34,136
13,Produto 013,Casa,1280.91,1003.24,11
14,Produto 014,Moda,2491.79,821.81,394
15,Produto 015,Beleza,2037.72,1094.81,301
16,Produto 016,Livros,1543.82,117.73,374
17,Produto 017,Moda,776.04,989.33,15
18,Produto 018,Eletrônicos,1565.38,958.03,128
19,Produto 019,Livros,1324.7,956.64,62
20,Produto 020,Esportes,1073.82,1029.1,108
21,Produto 021,Eletrônicos,339.82,1152.58,374
22,Produto 022,Eletrônicos,2218.21,1370.04,20
23,Produto 023,Esportes,1132.71,464.54,157
24,Produto 024,Beleza,498.64,1403.98,268
25,Produto 025,Eletrônicos,928.88,851.05,161
26,Produto 026,Livros,1044.11,138.38,259
27,Produto 027,Moda,2071.43,107.07,411
28,Produto 028,Eletrônicos,1838.03,573.53,101
29,Produto 029,Livros,1926.72,1336.05,222
30,Produto 030,Casa,42.41,1205.4,58
31,Produto 031,Livros,1049.14,1342.34,246
32,Produto 032,Moda,1211.14,883.22,127
33,Produto 033,Livros,62.69,752.82,282
34,Produto 034,Esportes,660.64,257.49,324
35,Produto 035,Moda,1904.32,563.3,24
36,Produto 036,eletronicos,355.72,742.36,130
37,Produto 037,Casa,1345.25,157.91,352
38,Produto 038,Esportes,549.78,381.28,195
39,Produto 039,Beleza,45.12,1020.2,280
40,Produto 040,Livros,614.39,1252.74,403
41,Produto 041,Moda,2440.05,1697.2,417
42,Produto 042,Casa,2006.82,1586.83,153
43,Produto 043,Esportes,2399.55,1095.22,381
44,Produto 044,Beleza,1227.32,720.75,132
45,Produto 045,Beleza,287.69,1084.41,226
46,Produto 046,Casa,1376.68,1337.32,188
47,Produto 047,Livros,1144.13,208.22,475
48,Produto 048,Casa,2113.23,701.56,476
49,Produto 049,Beleza,258.74,1428.95,264
50,Produto 050,Eletrônicos,1228.28,657.45,371
51,Produto 051,Esportes,387.87,975.61,485
52,Produto 052,Casa,821.82,1002.51,433
53,Produto 053,Beleza,1847.33,320.13,133
54,Produto 054,Livros,1197.91,620.9,210
55,Produto 055,Beleza,949.08,573.99,59
56,Produto 056,Livros,995.27,52.32,427
57,Produto 057,Casa,1156.73,48.93,376
58,Produto 058,Livros,1965.77,1415.23,394
59,Produto 059,Moda,2231.83,470.04,449
60,Produto 060,Moda,2389.01,884.59,430
61,Produto 061,Moda,1970.45,513.44,363
62,Produto 062,Eletrônicos,798.79,1599.63,363
63,Produto 063,Casa,1725.01,446.73,456
64,Produto 064,Beleza,1102.44,734.98,212
65,Produto 065,Beleza,647.86,1484.66,215
66,Produto 066,Eletrônicos,2104.57,1432.55,225
67,Produto 067,Livros,110.49,322.88,469
68,Produto 068,Eletrônicos,2255.88,1366.07,130
69,Produto 069,Livros,1161.77,783.25,75
70,Produto 070,Livros,1598.45,825.18,475
71,Produto 071,Esportes,1653.49,233.85,285
72,Produto 072,Beleza,2239.37,144.38,473
73,Produto 073,Moda,1597.12,1239.67,495
74,Produto 074,Livros,1540.62,848.01,276
75,Produto 075,Esportes,180.63,747.15,155
76,Produto 076,Beleza,1303.24,1242.33,247
77,Produto 077,Moda,388.17,1303.25,217
78,Produto 078,Livros,1847.52,276.87,189
79,Produto 079,Livros,1287.87,1040.5,416
80,Produto 080,Eletrônicos,1705.37,237.02,468
81,Produto 081,Eletrônicos,118.56,1279.33,162
82,Produto 082,Beleza,225.71,1119.57,179
83,Produto 083,Moda,1795.06,1626.59,33
84,Produto 084,Livros,194.13,124.68,40
85,Produto 085,Beleza,192.07,104.54,306
86,Produto 086,Beleza,45.09,485.46,430
87,Produto 087,Casa,2391.91,450.81,337
88,Produto 088,Eletrônicos,1847.71,425.89,313
89,Produto 089,Moda,892.83,1541.38,74
90,Produto 090,Livros,751.89,430.23,440
91,Produto 091,Beleza,884.01,468.14,278
92,Produto 092,Livros,1940.01,1292.9,175
93,Produto 093,Casa,1658.51,768.96,383
94,Produto 094,Moda,475.21,1322.19,149
95,Produto 095,Beleza,447.66,118.6,272
96,Produto 096,Livros,259.51,832.97,324
97,Produto 097,Eletrônicos,1655.85,64.87,107
98,Produto 098,Casa,1914.47,114.01,138
99,Produto 099,Moda,673.64,1541.69,349
100,Produto 100,Casa,67.05,243.6,270
101,Produto 101,Eletrônicos,219.2,908.86,346
102,Produto 102,Moda,2420.13,703.57,418
103,Produto 103,Casa,749.18,595.7,288
104,Produto 104,Esportes,1926.52,1530.52,211
