seller_id,seller_name,city,state
1,Vendedor 01,Curitiba,ES
2,Vendedor 02,Goiânia,PR
3,Vendedor 03,Salvador,BA
4,Vendedor 04,Porto Alegre,GO
5,Vendedor 05,Curitiba,RS
6,Vendedor 06,Goiânia,RJ
7,Vendedor 07,Uberaba,BA
8,Vendedor 08,Recife,PR
9,Vendedor 09,Uberaba,PE
10,Vendedor 10,Goiânia,RJ
11,Vendedor 11,Curitiba,PR
12,Vendedor 12,Recife,SC
13,Vendedor 13,Porto Alegre,SC
14,Vendedor 14,Rio de Janeiro,PR
15,Vendedor 15,Recife,BA
16,Vendedor 16,Recife,RJ
17,Vendedor 17,Curitiba,BA
18,Vendedor 18,Curitiba,SP
19,Vendedor 19,Goiânia,GO
20,Vendedor 20,São Paulo,SP
21,Vendedor 21,Recife,SC
22,Vendedor 22,Salvador,PE
23,Vendedor 23,Recife,MG
24,Vendedor 24,Goiânia,GO
25,Vendedor 25,Florianópolis,SC
26,Vendedor 26,Uberaba,BA
27,Vendedor 27,Rio de Janeiro,BA
28,Vendedor 28,São Paulo,BA
29,Vendedor 29,Porto Alegre,PE
30,Vendedor 30,Porto Alegre,SP
31,Vendedor 31,Porto Alegre,MG
32,Vendedor 32,Curitiba,BA
33,Vendedor 33,Porto Alegre,ES
34,Vendedor 34,Rio de Janeiro,GO
35,Vendedor 35,Uberaba,RJ
36,Vendedor 36,Porto Alegre,ES
37,Vendedor 37,Recife,MG
38,Vendedor 38,Recife,PE
39,Vendedor 39,Curitiba,MG
40,Vendedor 40,Rio de Janeiro,RJ
41,Vendedor 41,Uberaba,GO
42,Vendedor 42,São Paulo,RJ
43,Vendedor 43,Goiânia,PR
44,Vendedor 44,Uberaba,GO
45,Vendedor 45,Goiânia,MG
46,Vendedor 46,Florianópolis,BA
47,Vendedor 47,Goiânia,MG
48,Vendedor 48,Salvador,MG
49,Vendedor 49,Recife,GO
50,Vendedor 50,Rio de Janeiro,PR
